,Artist,Song,Capo,Memorized,Notes,Recording,Chords,Key
,4 Non Blondes,What's Up,,,,,https://tabs.ultimate-guitar.com/tab/4-non-blondes/whats-up-chords-349210,played it partially
,Adventure Time Song,Island Song (come along with me),,,,,,played all the way through
,Aldous Harding,The Barrel,,,,,THE BARREL CHORDS by Aldous Harding @ Ultimate-Guitar.Com,getting better needs work
,Alice In Chains,Rooster,,,,,ROOSTER CHORDS by Alice in Chains @ Ultimate-Guitar.Com,recording ready
,Andrew Bird,A Nervous Tic Motion,,,,,https://tabs.ultimate-guitar.com/tab/andrew-bird/a-nervous-tic-motion-of-the-head-to-the-left-chords-806542,performance ready
,Andrew Jackson Jihad,People,,,,,,
,Angel Olsen,Dance Slow Decades,,,,,DANCE SLOW DECADES CHORDS by Angel Olsen @ Ultimate-Guitar.Com,
,Angel Olsen,Enemy,c7,,,,ENEMY CHORDS by Angel Olsen @ Ultimate-Guitar.Com,
,Angel Olsen,Hi-Five,,,,,HI-FIVE CHORDS (ver 2) by Angel Olsen @ Ultimate-Guitar.Com,
,Angel Olsen,High and Wild,,,,,HIGH AND WILD CHORDS (ver 2) by Angel Olsen @ Ultimate-Guitar.Com,
,Angel Olsen,Intern,,,those high parts at the end tho,,INTERN CHORDS by Angel Olsen @ Ultimate-Guitar.Com,
,Angel Olsen,Shut Up Kiss Me,,,,,SHUT UP KISS ME CHORDS by Angel Olsen @ Ultimate-Guitar.Com,
,Angel Olsen,Unfuck The World,,,,,UNFUCKTHEWORLD CHORDS (ver 3) by Angel Olsen @ Ultimate-Guitar.Com,
,Angel Olsen,"Waiting, The",,,,,THE WAITING CHORDS by Angel Olsen @ Ultimate-Guitar.Com,
,Angel Olsen,White Fire,,,,,WHITE FIRE CHORDS (ver 2) by Angel Olsen @ Ultimate-Guitar.Com,
,Anna McClellan,Heart of Hearts,,,,first part only,https://tabs.ultimate-guitar.com/tab/anna-mcclellan/heart-of-hearts-chords-2625972,
,Alanis Morissette,All I Really Want,,,,,ALL I REALLY WANT CHORDS (ver 2) by Alanis Morissette @ Ultimate-Guitar.Com,
,,hand in my pocket,,,,,,
,Alanis Morissette,Head Over Feet,,,,,,
,Alanis Morissette,Uninvited,,,,,UNINVITED CHORDS by Alanis Morissette @ Ultimate-Guitar.Com,
,Alanis Morissette,You Learn,,,,,YOU LEARN CHORDS (ver 2) by Alanis Morissette @ Ultimate-Guitar.Com,
,Alanis Morissette,You Oughta Know,,,,,YOU OUGHTA KNOW CHORDS (ver 2) by Alanis Morissette @ Ultimate-Guitar.Com,
,Audioslave,Like A Stone,,,,,LIKE A STONE ACOUSTIC CHORDS by Chris Cornell @ Ultimate-Guitar.Com,
,Bachman Turner Overdrive,Taking Care of Business,,,Original arrangement,,,
,Bad Books,I Wrote It Down For You,,,,,https://tabs.ultimate-guitar.com/tab/bad-books/i-wrote-it-down-for-you-chords-2772484,
,Bad Company,Feel Like Making Love,,,,,https://tabs.ultimate-guitar.com/tab/bad-company/feel-like-making-love-chords-1087258,
,Band of Horses,Funeral,,,,,https://tabs.ultimate-guitar.com/tab/band-of-horses/the-funeral-chords-367742,
,Band of Horses,Is There A Ghost,,,,,https://tabs.ultimate-guitar.com/tab/band-of-horses/is-there-a-ghost-chords-813811,
,Band of Horses,Marry Song,,,,https://drive.google.com/file/d/1wJN3hnebEjv7TGt1tAq4RuTTiyctBkZY/view?usp=sharing,MARRY SONG CHORDS (ver 2) by Band of Horses @ Ultimate-Guitar.Com,
,Barenaked Ladies,Brian Wilson,c3,,,,https://tabs.ultimate-guitar.com/tab/barenaked-ladies/brian-wilson-chords-20547,
,Barenaked Ladies,Pinch Me,,,,,PINCH ME CHORDS (ver 2) by Barenaked Ladies @ Ultimate-Guitar.Com,
,Barenaked Ladies,The Old Apartment,c3,,,,https://tabs.ultimate-guitar.com/tab/barenaked-ladies/the-old-apartment-chords-1171558,
,"Beatles, The",Blackbird,,,try it with a capo,too low but,https://tabs.ultimate-guitar.com/tab/the-beatles/blackbird-chords-718548,
,"Beatles, The",In My Life,,,learned for voice class fall 2020,,IN MY LIFE CHORDS (ver 5) by The Beatles @ Ultimate-Guitar.Com,
,Bellamy Brothers,Old Hippie,,,dad request,https://drive.google.com/file/d/1mDtXLQiNpzLQdB4h4Vlcagh4J6ZUf0qf/view?usp=sharing,https://tabs.ultimate-guitar.com/tab/bellamy-brothers/old-hippie-chords-1230983,
,Better Than Ezra,This Time Of Year,,,,,https://tabs.ultimate-guitar.com/tab/better-than-ezra/this-time-of-year-chords-1163568,
,Big Thief,Lorraine,,,uke (or guitar),,LORRAINE LIVE CHORDS by Big Thief @ Ultimate-Guitar.Com,
,Big Thief,Paul,,,,,PAUL CHORDS by Big Thief @ Ultimate-Guitar.Com,
,Big Thief,Masterpiece,,,,uke,MASTERPIECE CHORDS by Big Thief @ Ultimate-Guitar.Com,
,Big Thief,Not,,,,,NOT CHORDS by Big Thief @ Ultimate-Guitar.Com,
,Big Thief,Real Love,,,Uke,,REAL LOVE CHORDS by Big Thief @ Ultimate-Guitar.Com,
,Big Thief,Parallels,,,,,PARALLELS CHORDS by Big Thief @ Ultimate-Guitar.Com,
,Billy Joel,Anthony's Song (Movin' Out),,,,,MOVIN OUT CHORDS (ver 3) by Billy Joel @ Ultimate-Guitar.Com,
,Billy Joel,Big Shot,,,,,BIG SHOT CHORDS by Billy Joel @ Ultimate-Guitar.Com,
